-4.066379117185749692e+01,-6.000000000000000000e+01
-4.075000000000000000e+01,-6.006843649946637953e+01
-4.097856023287057070e+01,-6.025000000000000000e+01
-4.100000000000000000e+01,-6.026718413496051596e+01
-4.125000000000000000e+01,-6.047270114942528352e+01
-4.128302194221160448e+01,-6.050000000000000000e+01
-4.150000000000000000e+01,-6.068232018985031573e+01
-4.158077342047930358e+01,-6.075000000000000000e+01
-4.175000000000000000e+01,-6.089156187351922256e+01
-4.187513144058885928e+01,-6.100000000000000000e+01
-4.200000000000000000e+01,-6.110900495685697820e+01
-4.216202531645569707e+01,-6.125000000000000000e+01
-4.225000000000000000e+01,-6.132968660424231189e+01
-4.243315865187012292e+01,-6.150000000000000000e+01
-4.250000000000000000e+01,-6.156364970645793022e+01
-4.269272414490993839e+01,-6.174999999999999289e+01
-4.275000000000000000e+01,-6.180946627442739327e+01
-4.293288624445340673e+01,-6.200000000000000000e+01
-4.300000000000000000e+01,-6.207252615518744676e+01
-4.316142942109436831e+01,-6.225000000000000000e+01
-4.325000000000000000e+01,-6.235185818513451750e+01
-4.337976832434591756e+01,-6.250000000000000711e+01
-4.350000000000000000e+01,-6.264181389870435623e+01
-4.358953987131994268e+01,-6.275000000000000000e+01
-4.375000000000000000e+01,-6.295034079844206332e+01
-4.379038804197188739e+01,-6.300000000000000000e+01
-4.398544537162817392e+01,-6.324999999999999289e+01
-4.400000000000000000e+01,-6.326934984520124061e+01
-4.417556952081697119e+01,-6.350000000000000000e+01
-4.425000000000000000e+01,-6.360058386411889586e+01
-4.436108918705603799e+01,-6.375000000000000000e+01
-4.450000000000000000e+01,-6.394166893547509289e+01
-4.454187023646667853e+01,-6.400000000000000000e+01
-4.471258907363419866e+01,-6.425000000000000000e+01
-4.475000000000000000e+01,-6.430418577981652106e+01
-4.488162459047985919e+01,-6.450000000000000000e+01
-4.500000000000000000e+01,-6.469506192442044323e+01
-4.503522704133578003e+01,-6.475000000000000000e+01
-4.517693786682857393e+01,-6.500000000000000000e+01
-4.525000000000000000e+01,-6.517652811735941043e+01
-4.528033515041389023e+01,-6.525000000000000000e+01
-4.536210548612582016e+01,-6.550000000000000000e+01
-4.542580128205128176e+01,-6.575000000000000000e+01
