0.000000000000000000e+00,5.095572024583816528e-02,8.920262753963470459e-02,1.263466030359268188e-01,-2.199370786547660828e-02,-3.553649643436074257e-03,-2.919830381870269775e-02,2.097904235124588013e-01,2.513546943664550781e-01,3.091005682945251465e-01,3.406615555286407471e-01,5.079240202903747559e-01,7.493613958358764648e-01,8.784255981445312500e-01,9.011279344558715820e-01,9.708017110824584961e-01,9.254595637321472168e-01,9.206336140632629395e-01,8.953294754028320312e-01,8.249728083610534668e-01,7.657626271247863770e-01,7.654591202735900879e-01
0.000000000000000000e+00,-6.615936011075973511e-02,9.815445542335510254e-02,2.442571222782135010e-01,2.357399761676788330e-01,2.515984177589416504e-01,3.802636861801147461e-01,4.980589747428894043e-01,5.409245491027832031e-01,5.845565199851989746e-01,6.867122054100036621e-01,6.798708438873291016e-01,6.618904471397399902e-01,7.891242504119873047e-01,8.417451381683349609e-01,8.645890951156616211e-01,9.338406324386596680e-01,8.930485248565673828e-01,8.825037479400634766e-01,8.667625784873962402e-01,8.896623849868774414e-01,8.298929929733276367e-01
0.000000000000000000e+00,6.028050929307937622e-02,6.996493041515350342e-02,2.617501467466354370e-02,5.942453444004058838e-02,1.296520382165908813e-01,2.682318389415740967e-01,3.387382328510284424e-01,3.590106368064880371e-01,3.034262061119079590e-01,2.319904118776321411e-01,3.048375844955444336e-01,3.153041303157806396e-01,4.712842404842376709e-01,6.162442564964294434e-01,7.884157299995422363e-01,8.815118074417114258e-01,9.103598594665527344e-01,9.649428129196166992e-01,9.351173639297485352e-01,1.000000000000000000e+00,9.440853595733642578e-01
0.000000000000000000e+00,3.799176216125488281e-02,-2.108334098011255264e-03,-3.583539649844169617e-02,-4.135929420590400696e-02,-7.276170887053012848e-03,7.892536371946334839e-02,1.855959445238113403e-01,2.418473660945892334e-01,4.411205649375915527e-01,7.194092273712158203e-01,8.813883066177368164e-01,8.354417681694030762e-01,7.258133888244628906e-01,6.299549341201782227e-01,5.220159888267517090e-01,5.831218957901000977e-01,7.815422415733337402e-01,9.586406946182250977e-01,8.903890252113342285e-01,7.127909064292907715e-01,6.764866113662719727e-01
0.000000000000000000e+00,2.124573104083538055e-02,9.967739880084991455e-02,1.931483596563339233e-01,3.545519709587097168e-01,5.067473053932189941e-01,4.808132052421569824e-01,4.772691726684570312e-01,5.048676133155822754e-01,5.617255568504333496e-01,6.119595170021057129e-01,6.803480982780456543e-01,7.862284183502197266e-01,8.680829405784606934e-01,8.279154896736145020e-01,7.628217339515686035e-01,8.315318822860717773e-01,8.844434022903442383e-01,8.439627885818481445e-01,9.476236104965209961e-01,1.000000000000000000e+00,9.746161699295043945e-01
0.000000000000000000e+00,4.143421351909637451e-02,7.148425281047821045e-02,1.149697080254554749e-01,8.733674138784408569e-02,1.653274744749069214e-01,2.519020736217498779e-01,2.852445542812347412e-01,2.376958131790161133e-01,2.871215939521789551e-01,4.403419494628906250e-01,7.095903158187866211e-01,7.734836935997009277e-01,6.553260684013366699e-01,5.568141937255859375e-01,6.040232181549072266e-01,6.852366924285888672e-01,8.211587071418762207e-01,7.562332153320312500e-01,7.894493937492370605e-01,9.105641245841979980e-01,1.000000000000000000e+00
0.000000000000000000e+00,-4.762142896652221680e-02,-6.540284305810928345e-02,-1.134625375270843506e-01,-9.317103773355484009e-02,3.405661508440971375e-02,-5.850514397025108337e-02,-1.376329511404037476e-01,-1.596851795911788940e-01,-9.736789762973785400e-02,1.401761621236801147e-01,4.415636360645294189e-01,4.858980178833007812e-01,6.177542805671691895e-01,6.962963938713073730e-01,7.426090836524963379e-01,7.216917276382446289e-01,7.867463231086730957e-01,8.403148055076599121e-01,7.946748733520507812e-01,7.359790802001953125e-01,7.535627484321594238e-01
0.000000000000000000e+00,1.095242276787757874e-01,1.173111647367477417e-01,1.857520341873168945e-01,2.960629761219024658e-01,3.006451427936553955e-01,3.066034615039825439e-01,3.272232711315155029e-01,3.363555371761322021e-01,3.639755845069885254e-01,4.047949612140655518e-01,5.921711921691894531e-01,7.258629202842712402e-01,7.953981161117553711e-01,8.261587023735046387e-01,7.756773829460144043e-01,8.285592794418334961e-01,8.950141668319702148e-01,1.000000000000000000e+00,9.296969175338745117e-01,9.174665808677673340e-01,9.730993509292602539e-01
0.000000000000000000e+00,9.982070122598316053e-02,-7.436957378639795849e-03,-7.489534166826694594e-02,-1.312056680243781637e-01,-1.282928209741159009e-01,-1.763376153465196494e-01,-1.786036122537673909e-01,1.071749830707189113e-02,1.851240638360234780e-01,4.205190972397691573e-01,6.080874460537087911e-01,6.956491242255485874e-01,7.504349056508424765e-01,7.463314500560940257e-01,7.847442415176721919e-01,8.213963877462325813e-01,7.700304221707886532e-01,7.084907166897443931e-01,6.630009803822479730e-01,4.880037598164562729e-01,3.616153060915091033e-01
0.000000000000000000e+00,8.677121778230512117e-02,2.145131189351293932e-01,1.260276784254997229e-01,1.398250808649413035e-01,2.411850562348675231e-01,3.567449533054851130e-01,2.906424724337021703e-01,3.303014523381465617e-01,4.162672515042209476e-01,5.022140459837396431e-01,5.799052046234601798e-01,7.456222704518934430e-01,6.753353376942754505e-01,6.207124476896002108e-01,7.010711041342795324e-01,7.819056379303136461e-01,7.555693233951492616e-01,7.382446511309689319e-01,7.681660097380014207e-01,8.278061369933825686e-01,1.000000000000000000e+00
