start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2022-01-01 00:00:00,61.1042,335.2083,936.933,2022-01-13 00:00:00,68.4167,331.8611
2022-01-03 01:00:00,62.8913,301.5761,969.505,2022-01-05 01:00:00,64.5,306.5833
2022-01-03 03:00:00,60.25,63.4038,976.532,2022-01-05 03:00:00,68.9318,73.0227
2022-01-05 11:00:00,63.7885,245.5385,966.678,2022-01-09 11:00:00,70.3333,42.7083
2022-01-09 14:00:00,60.025,214.925,982.62,2022-01-11 14:00:00,62.4706,209.6765
2022-01-10 10:00:00,62.3393,330.2143,959.197,2022-01-17 10:00:00,74.5,354.25
2022-01-15 09:00:00,71.1667,333.5,963.271,2022-01-19 09:00:00,73.125,26.25
2022-01-18 17:00:00,60.5357,298.6786,977.304,2022-01-24 17:00:00,61.9643,284.2321
2022-01-21 01:00:00,60.0,197.2826,975.828,2022-01-23 01:00:00,64.1944,182.1389
2022-01-21 02:00:00,74.5,327.3523,954.881,2022-01-23 02:00:00,77.1167,307.7833
2022-01-23 14:00:00,79.875,21.9,937.547,2022-01-25 14:00:00,76.8,47.65
2022-01-24 01:00:00,61.1304,198.1087,982.573,2022-01-28 01:00:00,84.0,180.25
2022-01-24 02:00:00,73.2955,333.7045,982.198,2022-01-26 02:00:00,67.125,355.75
2022-01-26 05:00:00,77.9342,58.1184,963.413,2022-01-28 05:00:00,82.3,107.9667
2022-01-26 17:00:00,61.7143,202.0714,969.324,2022-02-01 17:00:00,63.1389,159.7778
2022-02-02 11:00:00,61.0385,286.8269,982.83,2022-02-05 11:00:00,62.0833,318.5333
2022-02-03 00:00:00,63.0938,351.0417,939.403,2022-03-03 00:00:00,63.2,323.5
2022-02-06 04:00:00,60.0,214.575,983.007,2022-02-08 04:00:00,60.6458,207.7708
2022-02-10 15:00:00,60.3333,288.1389,952.789,2022-02-19 15:00:00,61.0417,335.2917
2022-02-14 09:00:00,73.3462,292.0962,985.75,2022-02-16 09:00:00,75.3816,304.3421
2022-02-22 23:00:00,60.0,169.75,964.547,2022-02-27 23:00:00,64.6538,170.7115
2022-02-23 04:00:00,62.55,185.6,968.098,2022-02-27 04:00:00,64.1875,180.25
2022-02-25 18:00:00,61.7917,328.375,946.165,2022-02-27 18:00:00,60.4375,339.8125
2022-02-28 05:00:00,69.7105,61.0132,979.908,2022-03-02 05:00:00,66.5769,73.4231
2022-03-04 00:00:00,61.125,309.5729,936.272,2022-03-20 00:00:00,70.975,77.225
2022-03-13 23:00:00,60.0,300.25,949.917,2022-03-18 23:00:00,83.575,225.475
2022-03-14 07:00:00,84.1471,259.5,959.922,2022-03-19 07:00:00,84.3077,215.6154
2022-03-14 12:00:00,89.3333,209.25,970.195,2022-03-18 12:00:00,85.7344,207.1875
2022-03-14 14:00:00,90.0,180.0,972.44,2022-03-18 14:00:00,85.6667,180.0
2022-03-21 14:00:00,76.075,40.45,970.555,2022-03-29 14:00:00,66.25,38.25
2022-03-30 23:00:00,60.0,188.75,982.759,2022-04-04 23:00:00,61.8,214.2
2022-04-03 09:00:00,60.4667,51.9333,968.73,2022-04-06 09:00:00,65.5,81.5
2022-04-05 17:00:00,60.0,343.75,967.662,2022-04-10 17:00:00,68.625,27.3125
2022-04-16 19:00:00,67.5,90.8,980.547,2022-04-18 19:00:00,63.9211,126.8684
2022-04-27 11:00:00,75.0962,65.1731,969.839,2022-04-30 11:00:00,76.4583,69.2083
