start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
1982-01-13 00:00:00,71.9792,338.125,954.576,1982-01-15 00:00:00,70.3214,31.8929
1982-01-16 15:00:00,66.75,344.4167,968.464,1982-01-18 15:00:00,60.0,301.9375
1982-01-19 01:00:00,60.3696,165.0326,963.86,1982-01-22 01:00:00,60.3375,171.425
1982-01-25 12:00:00,72.625,31.4583,965.163,1982-01-28 12:00:00,69.0109,46.9565
1982-01-27 12:00:00,60.0,188.7917,968.443,1982-01-29 12:00:00,60.2125,189.35
1982-02-03 01:00:00,60.0,332.2065,940.142,1982-02-16 01:00:00,80.5238,86.9643
1982-02-08 05:00:00,72.25,296.9737,974.351,1982-02-10 05:00:00,76.625,299.25
1982-02-18 11:00:00,60.0,321.6923,971.794,1982-02-20 11:00:00,62.1875,320.2708
1982-02-23 12:00:00,61.8958,332.3333,962.06,1982-03-01 12:00:00,64.7917,145.0938
1982-03-02 02:00:00,71.1023,75.875,965.778,1982-03-04 02:00:00,60.0,6.9
1982-03-05 20:00:00,64.9375,338.0625,961.347,1982-03-13 20:00:00,60.35,325.8125
1982-03-07 17:00:00,60.0,180.5357,969.212,1982-03-09 17:00:00,62.7262,190.369
1982-03-23 03:00:00,62.8333,328.6429,967.132,1982-03-25 03:00:00,66.4038,336.8654
1982-03-29 19:00:00,60.0,318.75,973.398,1982-03-31 19:00:00,73.7308,25.9615
1982-04-06 05:00:00,74.2895,16.5789,969.43,1982-04-08 05:00:00,71.5962,80.6538
1982-10-18 13:00:00,63.0909,334.9773,966.196,1982-10-21 13:00:00,63.4583,346.1667
1982-10-22 19:00:00,60.0,319.3,963.232,1982-10-24 19:00:00,62.0,320.2143
1982-10-26 03:00:00,60.8095,343.8214,959.089,1982-10-28 03:00:00,63.1607,340.5357
1982-11-02 03:00:00,75.3333,38.381,970.366,1982-11-04 03:00:00,70.5,46.1154
1982-11-21 13:00:00,61.1591,356.1364,964.31,1982-11-23 13:00:00,74.9,23.2
1982-11-25 06:00:00,64.0,297.2361,963.949,1982-11-28 06:00:00,63.2692,300.3846
1982-12-03 20:00:00,60.0,278.375,968.323,1982-12-05 20:00:00,71.3333,163.3333
1982-12-06 05:00:00,74.2368,29.4474,964.149,1982-12-11 05:00:00,60.0,15.3636
1982-12-06 09:00:00,60.0,163.4667,947.645,1982-12-09 09:00:00,60.6875,167.8125
1982-12-07 00:00:00,60.5521,180.25,968.422,1982-12-09 00:00:00,63.3333,181.4583
1982-12-07 13:00:00,60.1136,339.5,963.658,1982-12-09 13:00:00,60.0,338.0
1982-12-12 07:00:00,60.0147,199.7353,969.731,1982-12-14 07:00:00,61.3409,182.7273
1982-12-14 11:00:00,63.2692,207.3462,941.2,1982-12-16 11:00:00,62.6346,18.75
1982-12-14 20:00:00,60.0,212.875,972.521,1982-12-16 20:00:00,60.0,209.0729
1982-12-16 14:00:00,61.7,25.55,940.363,1982-12-31 14:00:00,70.4886,340.7273
1982-06-08 22:00:00,60.125,59.5,981.385,1982-06-10 22:00:00,67.3036,40.5357
1982-07-16 02:00:00,63.4318,328.7045,983.081,1982-07-19 02:00:00,90.0,348.35
1982-07-16 08:00:00,80.2656,105.3281,978.127,1982-07-19 08:00:00,87.875,179.1667
1982-07-17 02:00:00,87.9659,201.8864,980.354,1982-07-19 02:00:00,87.7308,207.0
1982-07-17 05:00:00,89.9342,295.9868,982.453,1982-07-21 05:00:00,62.4375,270.1875
1982-07-17 06:00:00,87.9167,182.5556,977.778,1982-07-19 06:00:00,87.8182,195.75
1982-08-13 21:00:00,74.0,152.5,980.07,1982-08-15 21:00:00,76.3542,177.7604
1982-08-14 01:00:00,76.1304,189.5,976.535,1982-08-17 01:00:00,80.9062,196.5938
1982-09-04 20:00:00,62.75,181.75,981.406,1982-09-07 20:00:00,61.2,261.5
1982-09-04 21:00:00,69.0,51.0833,973.978,1982-09-09 21:00:00,68.125,105.5
1982-09-09 05:00:00,61.3684,338.8816,965.289,1982-09-23 05:00:00,69.0526,144.1842
1982-09-11 15:00:00,60.6111,261.5278,979.013,1982-09-18 15:00:00,81.75,247.0
1982-09-13 04:00:00,82.0375,281.0875,980.927,1982-09-15 04:00:00,86.4722,224.3889
1982-09-13 05:00:00,90.0,180.0,981.596,1982-09-15 05:00:00,89.0833,180.0
1982-09-13 05:00:00,90.0,224.9079,981.581,1982-09-15 05:00:00,88.3333,208.9
1982-09-19 19:00:00,81.05,102.85,982.661,1982-09-21 19:00:00,71.125,84.2812
1982-09-23 23:00:00,75.5,42.0,960.73,1982-09-26 23:00:00,68.0625,114.625
1982-09-24 16:00:00,61.4688,336.4375,956.155,1982-10-04 16:00:00,61.7262,288.0714
