-1.389356340809026757e-01,-3.599700028781080419e-01,-3.492187502610031302e-01
-2.361025093055795776e-01,-2.046868801708333074e-01,-3.228493785150349238e-01
-1.623287593442946652e-01,-9.315628275740891334e-03,6.460531083027599708e-01
3.505218030341043178e+00,4.155832970877820998e+00,6.123160038628887136e+00
4.832112349548786767e+00,6.823509197449737940e+00,6.624224205286994405e+00
4.284676937581556544e+00,7.272953187361279603e+00,7.561347701517168396e+00
2.378674594776140516e+00,5.536533367862230826e+00,6.728000630988420383e+00
2.016112692011233332e+00,2.465261220293397226e+00,3.635514967841916523e+00
2.716891000323380378e-01,1.739633714400917963e+00,1.577543425059933391e+00
-4.475420087151238402e-01,-1.881139193119789610e-01,-8.271217475458607638e-01
-1.762559051371725305e+00,-2.750003619970267099e+00,-4.707093661472629975e+00
-1.697757320457963237e+00,-3.613805639550315973e+00,-5.632438851404226732e+00
