1.402010595615953203e+00,1.845725576278753666e+00,1.745929965069517475e+00
3.464803017734084389e-01,6.414881139788777276e-01,7.715506131374276766e-01
5.745156229385175450e-01,9.970312289148575147e-02,5.300374826742337842e-02
1.408970076313272202e+00,3.099272209572591308e+00,3.385477556755869699e+00
5.856244536777506227e-01,1.852340393544670505e+00,2.413080400507798373e+00
2.240356508521225365e+00,4.236223647623107880e+00,4.715356100685747620e+00
1.462076790597871101e+00,2.851413923776149772e+00,4.313275379198648452e+00
3.239016755172580808e+00,5.515554954391543419e+00,6.996648870675544529e+00
3.072079867531217978e+00,5.226476234977878832e+00,5.093239429942444829e+00
9.929066168077085308e-01,1.020061169850453808e+00,6.807638532442757295e+00
4.189666895868758623e+00,7.152458454406783517e+00,9.740529774897172643e+00
2.304315695270921616e+00,3.164910371513422138e+00,1.637021445212408999e+00
9.471714989848084798e+00,1.025795747227373411e+01,2.979299287585561729e+00
