3.949686480872332400e-02,1.680112510723993369e-01,2.182100005783140784e-01
2.188906271648593249e-01,3.098312527928501203e-01,1.246981238517910207e-01
4.236218701642938123e-01,2.227500008144416288e-01,1.745631145373918169e-01
1.265491854321707077e+00,1.764959698346428851e+00,1.895203021665905929e+00
1.829683718802451509e+00,2.324261084156139745e+00,2.579909397705824503e+00
1.569635879479951868e+00,1.173299721576022137e+00,1.524784347247477356e+00
8.797104271774885964e-01,6.141296643089502183e-01,6.547337008454356955e-01
5.875296652218625626e-01,7.257110874079055751e-01,4.525507558539509922e-01
1.735924461105700756e+00,9.016345215981824701e-01,1.491808027597963715e+00
7.581975344391280736e-01,7.665100061076697280e-01,4.501073626945912842e-01
5.319381121542310353e-02,7.825439942216387834e-01,2.339199856144701606e+00
1.782010107147481426e+00,7.976149106092380592e-01,7.434344250187390202e-01
1.059921794428850816e+01,8.030484196838095556e+00,4.721291030118916154e+00
