nan,nan,nan
nan,nan,nan
nan,nan,nan
7.021894485168456157e-01,1.960384090820312508e+00,1.712783837402342968e+00
2.058385091064453221e+00,2.490064628906250022e-01,1.373542020874030101e-01
3.939220305297851610e+00,6.275943660766602150e+00,7.567746655517577636e+00
3.065085513854980626e+00,4.717995751953124817e+00,7.735575266601562916e+00
2.687707389099120991e+00,4.994903729522705227e+00,6.305288285064697185e+00
3.048273608352661146e+00,5.471582480621338007e+00,3.933331950073242211e+00
6.093103735656737463e-01,1.751278674316406381e+00,6.911427906494139961e+00
7.425064278564453168e+00,1.185503768872070296e+01,1.574573088269042920e+01
7.104857351989743997e-01,9.269416734313962181e-01,7.232441393737794044e-01
